step,l2,n0_ind,n0_alloc,n64_ind,n64_alloc,n62_ind,n62_alloc,n22_ind,n22_alloc,n10_ind,n10_alloc,n51_ind,n51_alloc,n46_ind,n46_alloc,n55_ind,n55_alloc,n41_ind,n41_alloc,n45_ind,n45_alloc
57,1.199717,100.000000,0.000000,99.938307,1.986886,99.999993,0.000241,99.850025,4.331167,99.954163,1.281649,99.958773,1.116631,99.914190,2.321059,99.956423,1.168271,99.911306,2.354099,99.945795,1.406458
58,1.058228,100.000000,0.000000,99.945615,1.979568,99.999995,0.000214,99.867501,4.325846,99.959404,1.283564,99.963396,1.121253,99.924224,2.316988,99.961327,1.172529,99.921288,2.362675,99.951755,1.415806
59,0.933444,100.000000,0.000000,99.952050,1.972933,99.999996,0.000190,99.882955,4.320764,99.964057,1.285245,99.967516,1.125514,99.933088,2.313213,99.965694,1.176447,99.930178,2.370543,99.957082,1.424671
60,0.823388,100.000000,0.000000,99.957719,1.966931,99.999997,0.000169,99.896618,4.315903,99.968186,1.286721,99.971185,1.129443,99.940919,2.309706,99.969581,1.180054,99.938090,2.377760,99.961840,1.433076
61,0.726321,100.000000,0.000000,99.962712,1.961517,99.999997,0.000151,99.908695,4.311251,99.971849,1.288017,99.974450,1.133065,99.947836,2.306438,99.973037,1.183373,99.945127,2.384379,99.966086,1.441049
62,0.640706,100.000000,0.000000,99.967113,1.956648,99.999998,0.000134,99.919370,4.306798,99.975096,1.289155,99.977353,1.136405,99.953946,2.303386,99.976109,1.186430,99.951381,2.390451,99.969873,1.448613
63,0.565189,100.000000,0.000000,99.970991,1.952284,99.999998,0.000119,99.928803,4.302537,99.977974,1.290156,99.979934,1.139485,99.959343,2.300527,99.978838,1.189245,99.956937,2.396023,99.973248,1.455791
64,0.498579,100.000000,0.000000,99.974409,1.948387,99.999999,0.000106,99.937137,4.298464,99.980523,1.291038,99.982226,1.142328,99.964110,2.297840,99.981261,1.191840,99.961869,2.401137,99.976253,1.462605
65,0.439822,100.000000,0.000000,99.977422,1.944921,99.999999,0.000095,99.944500,4.294576,99.982780,1.291816,99.984261,1.144952,99.968319,2.295306,99.983411,1.194232,99.966246,2.405832,99.978929,1.469073
66,0.387993,100.000000,0.000000,99.980080,1.941853,99.999999,0.000085,99.951004,4.290870,99.984779,1.292505,99.986067,1.147376,99.972037,2.292907,99.985318,1.196438,99.970128,2.410145,99.981309,1.475216
67,0.342273,100.000000,0.000000,99.982423,1.939153,99.999999,0.000075,99.956749,4.287344,99.986547,1.293114,99.987669,1.149614,99.975319,2.290625,99.987009,1.198474,99.973570,2.414107,99.983426,1.481049
68,0.301943,100.000000,0.000000,99.984489,1.936792,100.000000,0.000067,99.961821,4.283996,99.988112,1.293655,99.989089,1.151683,99.978218,2.288445,99.988508,1.200353,99.976620,2.417748,99.985307,1.486588
69,0.266366,100.000000,0.000000,99.986312,1.934741,100.000000,0.000060,99.966301,4.280824,99.989496,1.294135,99.990348,1.153595,99.980777,2.286351,99.989835,1.202088,99.979322,2.421093,99.986979,1.491848
