step,l2,n0_ind,n0_alloc,n1_ind,n1_alloc,n2_ind,n2_alloc,n3_ind,n3_alloc,n4_ind,n4_alloc,n5_ind,n5_alloc,n6_ind,n6_alloc,n7_ind,n7_alloc,n8_ind,n8_alloc,n9_ind,n9_alloc
59,0.870476,100.000000,0.000000,99.984405,0.357616,99.610723,8.856123,100.000000,0.000001,99.649620,7.965858,99.950169,1.126124,99.949914,1.132716,99.999999,0.000016,100.000000,0.000005,99.999990,0.000248
60,0.768600,100.000000,0.000000,99.986337,0.353682,99.656842,8.828508,100.000000,0.000001,99.690949,7.946355,99.955801,1.130122,99.955604,1.135906,100.000000,0.000013,100.000000,0.000005,99.999992,0.000222
61,0.678626,100.000000,0.000000,99.988009,0.350479,99.697483,8.802584,100.000000,0.000001,99.727411,7.927685,99.960813,1.133774,99.960660,1.138846,100.000000,0.000011,100.000000,0.000004,99.999994,0.000199
62,0.599170,100.000000,0.000000,99.989459,0.347953,99.733296,8.778254,100.000000,0.000000,99.759576,7.909813,99.965269,1.137110,99.965151,1.141554,100.000000,0.000009,100.000000,0.000003,99.999995,0.000178
63,0.529004,100.000000,0.000000,99.990719,0.346053,99.764857,8.755424,100.000000,0.000000,99.787949,7.892701,99.969229,1.140155,99.969137,1.144047,100.000000,0.000008,100.000000,0.000003,99.999996,0.000159
64,0.467045,100.000000,0.000000,99.991816,0.344736,99.792673,8.734008,100.000000,0.000000,99.812976,7.876313,99.972746,1.142935,99.972675,1.146341,100.000000,0.000007,100.000000,0.000003,99.999997,0.000142
65,0.412336,100.000000,0.000000,99.992774,0.343960,99.817189,8.713923,100.000000,0.000000,99.835050,7.860609,99.975868,1.145471,99.975813,1.148451,100.000000,0.000006,100.000000,0.000002,99.999998,0.000127
66,0.364031,100.000000,0.000000,99.993611,0.343691,99.838797,8.695090,100.000000,0.000000,99.854519,7.845553,99.978638,1.147784,99.978596,1.150390,100.000000,0.000005,100.000000,0.000002,99.999998,0.000114
67,0.321380,100.000000,0.000000,99.994345,0.343895,99.857844,8.677436,100.000000,0.000000,99.871691,7.831109,99.981095,1.149892,99.981062,1.152169,100.000000,0.000004,100.000000,0.000002,99.999999,0.000102
68,0.283725,100.000000,0.000000,99.994988,0.344543,99.874633,8.660892,100.000000,0.000000,99.886835,7.817241,99.983272,1.151811,99.983247,1.153800,100.000000,0.000003,100.000000,0.000001,99.999999,0.000091
69,0.250480,100.000000,0.000000,99.995554,0.345608,99.889433,8.645394,100.000000,0.000000,99.900191,7.803916,99.985202,1.153557,99.985183,1.155294,100.000000,0.000003,100.000000,0.000001,99.999999,0.000081
70,0.221130,100.000000,0.000000,99.996052,0.347065,99.902481,8.630880,100.000000,0.000000,99.911970,7.791104,99.986911,1.155143,99.986896,1.156660,100.000000,0.000002,100.000000,0.000001,99.999999,0.000072
71,0.195220,100.000000,0.000000,99.996491,0.348893,99.913984,8.617296,100.000000,0.000000,99.922358,7.778773,99.988425,1.156581,99.988414,1.157905,100.000000,0.000002,100.000000,0.000001,99.999999,0.000065
72,0.172346,100.000000,0.000000,99.996878,0.351071,99.924126,8.604587,100.000000,0.000000,99.931519,7.766896,99.989765,1.157883,99.989757,1.159039,100.000000,0.000002,100.000000,0.000001,100.000000,0.000058
73,0.152154,100.000000,0.000000,99.997220,0.353579,99.933068,8.592705,100.000000,0.000000,99.939598,7.755446,99.990952,1.159060,99.990945,1.160068,100.000000,0.000001,100.000000,0.000001,100.000000,0.000051
74,0.134329,100.000000,0.000000,99.997523,0.356402,99.940953,8.581602,100.000000,0.000000,99.946723,7.744399,99.992001,1.160120,99.991996,1.160999,100.000000,0.000001,100.000000,0.000001,100.000000,0.000046
75,0.118593,100.000000,0.000000,99.997792,0.359522,99.947906,8.571236,100.000000,0.000000,99.953006,7.733730,99.992930,1.161071,99.992926,1.161838,100.000000,0.000001,100.000000,0.000000,100.000000,0.000041
76,0.104703,100.000000,0.000000,99.998030,0.362925,99.954038,8.561566,100.000000,0.000000,99.958547,7.723419,99.993752,1.161923,99.993748,1.162591,100.000000,0.000001,100.000000,0.000000,100.000000,0.000037
77,0.092441,100.000000,0.000000,99.998241,0.366596,99.959445,8.552554,100.000000,0.000000,99.963434,7.713444,99.994478,1.162681,99.994476,1.163264,100.000000,0.000001,100.000000,0.000000,100.000000,0.000033
78,0.081617,100.000000,0.000000,99.998429,0.370523,99.964214,8.544164,100.000000,0.000000,99.967743,7.703787,99.995121,1.163352,99.995119,1.163861,100.000000,0.000001,100.000000,0.000000,100.000000,0.000029
79,0.072063,100.000000,0.000000,99.998596,0.374692,99.968420,8.536363,100.000000,0.000000,99.971544,7.694431,99.995688,1.163943,99.995687,1.164386,100.000000,0.000001,100.000000,0.000000,100.000000,0.000026
80,0.063628,100.000000,0.000000,99.998745,0.379093,99.972130,8.529119,100.000000,0.000000,99.974896,7.685358,99.996191,1.164458,99.996189,1.164844,100.000000,0.000000,100.000000,0.000000,100.000000,0.000023
81,0.056183,100.000000,0.000000,99.998878,0.383714,99.975403,8.522404,100.000000,0.000000,99.977852,7.676553,99.996634,1.164903,99.996633,1.165240,100.000000,0.000000,100.000000,0.000000,100.000000,0.000021
82,0.049610,100.000000,0.000000,99.998996,0.388543,99.978289,8.516189,100.000000,0.000000,99.980460,7.668003,99.997027,1.165282,99.997026,1.165576,100.000000,0.000000,100.000000,0.000000,100.000000,0.000018
83,0.043807,100.000000,0.000000,99.999101,0.393571,99.980836,8.510449,100.000000,0.000000,99.982759,7.659694,99.997373,1.165600,99.997373,1.165856,100.000000,0.000000,100.000000,0.000000,100.000000,0.000016
84,0.038685,100.000000,0.000000,99.999196,0.398787,99.983083,8.505161,100.000000,0.000000,99.984788,7.651615,99.997679,1.165861,99.997679,1.166084,100.000000,0.000000,100.000000,0.000000,100.000000,0.000015
85,0.034163,100.000000,0.000000,99.999280,0.404182,99.985066,8.500301,100.000000,0.000000,99.986577,7.643755,99.997950,1.166068,99.997950,1.166262,100.000000,0.000000,100.000000,0.000000,100.000000,0.000013
86,0.030171,100.000000,0.000000,99.999355,0.409744,99.986815,8.495849,100.000000,0.000000,99.988155,7.636104,99.998189,1.166225,99.998189,1.166394,100.000000,0.000000,100.000000,0.000000,100.000000,0.000012
87,0.026646,100.000000,0.000000,99.999422,0.415466,99.988358,8.491785,100.000000,0.000000,99.989547,7.628653,99.998400,1.166334,99.998400,1.166482,100.000000,0.000000,100.000000,0.000000,100.000000,0.000010
88,0.023534,100.000000,0.000000,99.999482,0.421337,99.989721,8.488091,100.000000,0.000000,99.990775,7.621395,99.998587,1.166400,99.998587,1.166529,100.000000,0.000000,100.000000,0.000000,100.000000,0.000009
89,0.020787,100.000000,0.000000,99.999536,0.427347,99.990923,8.484750,100.000000,0.000000,99.991858,7.614322,99.998752,1.166425,99.998752,1.166537,100.000000,0.000000,100.000000,0.000000,100.000000,0.000008
90,0.018361,100.000000,0.000000,99.999584,0.433487,99.991984,8.481746,100.000000,0.000000,99.992814,7.607429,99.998897,1.166410,99.998897,1.166508,100.000000,0.000000,100.000000,0.000000,100.000000,0.000007
91,0.016219,100.000000,0.000000,99.999627,0.439748,99.992920,8.479064,100.000000,0.000000,99.993657,7.600710,99.999026,1.166360,99.999026,1.166445,100.000000,0.000000,100.000000,0.000000,100.000000,0.000006
92,0.014328,100.000000,0.000000,99.999666,0.446119,99.993747,8.476691,100.000000,0.000000,99.994401,7.594161,99.999140,1.166275,99.999139,1.166350,100.000000,0.000000,100.000000,0.000000,100.000000,0.000006
93,0.012658,100.000000,0.000000,99.999701,0.452591,99.994476,8.474613,100.000000,0.000000,99.995057,7.587778,99.999240,1.166158,99.999240,1.166223,100.000000,0.000000,100.000000,0.000000,100.000000,0.000005
94,0.011183,100.000000,0.000000,99.999732,0.459154,99.995121,8.472819,100.000000,0.000000,99.995637,7.581559,99.999328,1.166012,99.999328,1.166068,100.000000,0.000000,100.000000,0.000000,100.000000,0.000005
95,0.009880,100.000000,0.000000,99.999760,0.465797,99.995689,8.471298,100.000000,0.000000,99.996148,7.575501,99.999407,1.165837,99.999407,1.165886,100.000000,0.000000,100.000000,0.000000,100.000000,0.000004
96,0.008730,100.000000,0.000000,99.999784,0.472512,99.996192,8.470038,100.000000,0.000000,99.996599,7.569602,99.999476,1.165635,99.999476,1.165679,100.000000,0.000000,100.000000,0.000000,100.000000,0.000004
97,0.007714,100.000000,0.000000,99.999807,0.479287,99.996635,8.469031,100.000000,0.000000,99.996997,7.563862,99.999537,1.165409,99.999537,1.165447,100.000000,0.000000,100.000000,0.000000,100.000000,0.000003
98,0.006816,100.000000,0.000000,99.999827,0.486112,99.997027,8.468267,100.000000,0.000000,99.997348,7.558280,99.999591,1.165160,99.999591,1.165193,100.000000,0.000000,100.000000,0.000000,100.000000,0.000003
99,0.006024,100.000000,0.000000,99.999845,0.492976,99.997372,8.467738,100.000000,0.000000,99.997658,7.552856,99.999639,1.164889,99.999639,1.164918,100.000000,0.000000,100.000000,0.000000,100.000000,0.000003
100,0.005324,100.000000,0.000000,99.999861,0.499869,99.997678,8.467434,100.000000,0.000000,99.997931,7.547592,99.999681,1.164598,99.999681,1.164623,100.000000,0.000000,100.000000,0.000000,100.000000,0.000002
101,0.004705,100.000000,0.000000,99.999875,0.506780,99.997948,8.467349,100.000000,0.000000,99.998173,7.542487,99.999718,1.164288,99.999718,1.164310,100.000000,0.000000,100.000000,0.000000,100.000000,0.000002
102,0.004159,100.000000,0.000000,99.999888,0.513698,99.998186,8.467475,100.000000,0.000000,99.998386,7.537543,99.999751,1.163960,99.999751,1.163979,100.000000,0.000000,100.000000,0.000000,100.000000,0.000002
103,0.003676,100.000000,0.000000,99.999900,0.520613,99.998396,8.467804,100.000000,0.000000,99.998574,7.532761,99.999780,1.163616,99.999780,1.163632,100.000000,0.000000,100.000000,0.000000,100.000000,0.000002
104,0.003250,100.000000,0.000000,99.999911,0.527513,99.998582,8.468329,100.000000,0.000000,99.998741,7.528145,99.999805,1.163256,99.999805,1.163271,100.000000,0.000000,100.000000,0.000000,100.000000,0.000001
105,0.002873,100.000000,0.000000,99.999920,0.534387,99.998747,8.469043,100.000000,0.000000,99.998887,7.523694,99.999828,1.162882,99.999828,1.162895,100.000000,0.000000,100.000000,0.000000,100.000000,0.000001
106,0.002540,100.000000,0.000000,99.999928,0.541225,99.998892,8.469940,100.000000,0.000000,99.999017,7.519411,99.999848,1.162496,99.999848,1.162507,100.000000,0.000000,100.000000,0.000000,100.000000,0.000001
107,0.002246,100.000000,0.000000,99.999936,0.548015,99.999020,8.471013,100.000000,0.000000,99.999131,7.515299,99.999866,1.162097,99.999866,1.162107,100.000000,0.000000,100.000000,0.000000,100.000000,0.000001
108,0.001986,100.000000,0.000000,99.999943,0.554747,99.999133,8.472255,100.000000,0.000000,99.999232,7.511360,99.999881,1.161687,99.999881,1.161696,100.000000,0.000000,100.000000,0.000000,100.000000,0.000001
109,0.001756,100.000000,0.000000,99.999949,0.561411,99.999234,8.473659,100.000000,0.000000,99.999322,7.507595,99.999895,1.161268,99.999895,1.161276,100.000000,0.000000,100.000000,0.000000,100.000000,0.000001
110,0.001553,100.000000,0.000000,99.999954,0.567995,99.999322,8.475218,100.000000,0.000000,99.999400,7.504006,99.999907,1.160840,99.999907,1.160846,100.000000,0.000000,100.000000,0.000000,100.000000,0.000001
111,0.001373,100.000000,0.000000,99.999959,0.574490,99.999401,8.476926,100.000000,0.000000,99.999470,7.500595,99.999918,1.160404,99.999918,1.160410,100.000000,0.000000,100.000000,0.000000,100.000000,0.000001
112,0.001214,100.000000,0.000000,99.999963,0.580885,99.999470,8.478775,100.000000,0.000000,99.999531,7.497364,99.999928,1.159961,99.999928,1.159966,100.000000,0.000000,100.000000,0.000000,100.000000,0.000001
113,0.001074,100.000000,0.000000,99.999967,0.587172,99.999531,8.480759,100.000000,0.000000,99.999586,7.494314,99.999936,1.159512,99.999936,1.159517,100.000000,0.000000,100.000000,0.000000,100.000000,0.000001
114,0.000950,100.000000,0.000000,99.999971,0.593340,99.999585,8.482870,100.000000,0.000000,99.999634,7.491446,99.999943,1.159059,99.999943,1.159063,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000
