model,lambda,step,l2
1,0.4,4500,3.226336
1,0.4,4600,2.688686
1,0.4,4700,2.240545
1,0.4,4800,1.867046
1,0.4,4900,1.555783
1,0.4,5000,1.296403
1,0.4,5100,1.080268
1,0.4,5200,0.900177
1,0.4,5300,0.750122
1,0.4,5400,0.625098
1,0.4,5500,0.52093
1,0.4,5600,0.434138
1,0.4,5700,0.361824
1,0.4,5800,0.301572
1,0.4,5900,0.251368
1,0.4,6000,0.209535
1,0.4,6100,0.174677
1,0.4,6200,0.145628
1,0.4,6300,0.12142
1,0.4,6400,0.101245
1,0.4,6500,0.084429
1,0.4,6600,0.070412
1,0.4,6700,0.058728
1,0.4,6800,0.048988
1,0.4,6900,0.040867
1,0.4,7000,0.034095
1,0.4,7100,0.028449
1,0.4,7200,0.02374
1,0.4,7300,0.019812
1,0.4,7400,0.016536
1,0.4,7500,0.013803
1,0.4,7600,0.011523
1,0.4,7700,0.009621
1,0.4,7800,0.008033
1,0.4,7900,0.006708
1,0.4,8000,0.005603
1,0.4,8100,0.004679
1,0.4,8200,0.003909
1,0.4,8300,0.003265
1,0.4,8400,0.002728
1,0.4,8500,0.002279
1,0.4,8600,0.001905
1,0.4,8700,0.001592
1,0.4,8800,0.00133
1,0.4,8900,0.001112
1,0.4,8960,0.000998
2,0.1,0,3309.272525
2,0.1,100,2615.600105
2,0.1,200,2163.449108
2,0.1,300,1815.949282
2,0.1,400,1539.632549
2,0.1,500,1322.041623
2,0.1,600,1151.596165
2,0.1,700,1016.681506
2,0.1,800,907.509531
2,0.1,900,816.770252
2,0.1,1000,739.282468
2,0.1,1100,671.369939
2,0.1,1200,610.360682
2,0.1,1300,554.325438
2,0.1,1400,501.992446
2,0.1,1500,452.677881
2,0.1,1600,406.119914
2,0.1,1700,362.26002
2,0.1,1800,321.099453
2,0.1,1900,282.67518
2,0.1,2000,247.078345
2,0.1,2100,214.437666
2,0.1,2200,184.866512
2,0.1,2300,158.411572
2,0.1,2400,135.028026
2,0.1,2500,114.582358
2,0.1,2600,96.872089
2,0.1,2700,81.651191
2,0.1,2800,68.653774
2,0.1,2900,57.612719
2,0.1,3000,48.272569
2,0.1,3100,40.397367
2,0.1,3200,33.77461
2,0.1,3300,28.216463
2,0.1,3400,23.559206
2,0.1,3500,19.661642
2,0.1,3600,16.402981
2,0.1,3700,13.68052
2,0.1,3800,11.407346
2,0.1,3900,9.51017
2,0.1,4000,7.927362
2,0.1,4100,6.607202
2,0.1,4200,5.506355
2,0.1,4300,4.588557
2,0.1,4400,3.823488
2,0.1,4500,3.185813
2,0.1,4600,2.654377
2,0.1,4700,2.211521
2,0.1,4800,1.842509
2,0.1,4900,1.535049
2,0.1,5000,1.278889
2,0.1,5100,1.065478
2,0.1,5200,0.88769
2,0.1,5300,0.739581
2,0.1,5400,0.6162
2,0.1,5500,0.513419
2,0.1,5600,0.427799
2,0.1,5700,0.356474
2,0.1,5800,0.297057
2,0.1,5900,0.247557
2,0.1,6000,0.206319
2,0.1,6100,0.171963
2,0.1,6200,0.143338
2,0.1,6300,0.119488
2,0.1,6400,0.099614
2,0.1,6500,0.083053
2,0.1,6600,0.069252
2,0.1,6700,0.057749
2,0.1,6800,0.048162
2,0.1,6900,0.04017
2,0.1,7000,0.033508
2,0.1,7100,0.027954
2,0.1,7200,0.023323
2,0.1,7300,0.019461
2,0.1,7400,0.01624
2,0.1,7500,0.013554
2,0.1,7600,0.011313
2,0.1,7700,0.009444
2,0.1,7800,0.007884
2,0.1,7900,0.006583
2,0.1,8000,0.005497
2,0.1,8100,0.004591
2,0.1,8200,0.003834
2,0.1,8300,0.003203
2,0.1,8400,0.002675
2,0.1,8500,0.002235
2,0.1,8600,0.001867
2,0.1,8700,0.00156
2,0.1,8800,0.001304
2,0.1,8900,0.00109
2,0.1,8948,0.001
2,0.2,0,3308.522067
2,0.2,100,2577.266854
2,0.2,200,2116.925738
2,0.2,300,1770.275363
2,0.2,400,1498.624413
2,0.2,500,1287.20955
2,0.2,600,1123.311088
2,0.2,700,994.699898
2,0.2,800,891.223251
2,0.2,900,805.401105
2,0.2,1000,732.016608
2,0.2,1100,667.431483
2,0.2,1200,609.057268
2,0.2,1300,555.065856
2,0.2,1400,504.26962
2,0.2,1500,456.054084
2,0.2,1600,410.254597
2,0.2,1700,366.950251
2,0.2,1800,326.25794
2,0.2,1900,288.238307
2,0.2,2000,252.924166
2,0.2,2100,220.374271
2,0.2,2200,190.6749
2,0.2,2300,163.896554
2,0.2,2400,140.049038
2,0.2,2500,119.060786
2,0.2,2600,100.7833
2,0.2,2700,85.01029
2,0.2,2800,71.501111
2,0.2,2900,60.001945
2,0.2,3000,50.262015
2,0.2,3100,42.044443
2,0.2,3200,35.132554
2,0.2,3300,29.332754
2,0.2,3400,24.47506
2,0.2,3500,20.412157
2,0.2,3600,17.017632
2,0.2,3700,14.183814
2,0.2,3800,11.819511
2,0.2,3900,9.847819
2,0.2,4000,8.204095
2,0.2,4100,6.834128
2,0.2,4200,5.692539
2,0.2,4300,4.741394
2,0.2,4400,3.94901
2,0.2,4500,3.288947
2,0.2,4600,2.739146
2,0.2,4700,2.281217
2,0.2,4800,1.899827
2,0.2,4900,1.582196
2,0.2,5000,1.317675
2,0.2,5100,1.09739
2,0.2,5200,0.913947
2,0.2,5300,0.761188
2,0.2,5400,0.63398
2,0.2,5500,0.528051
2,0.2,5600,0.439839
2,0.2,5700,0.366382
2,0.2,5800,0.30521
2,0.2,5900,0.254267
2,0.2,6000,0.211841
2,0.2,6100,0.176507
2,0.2,6200,0.147078
2,0.2,6300,0.122565
2,0.2,6400,0.102147
2,0.2,6500,0.085138
2,0.2,6600,0.070968
2,0.2,6700,0.059162
2,0.2,6800,0.049325
2,0.2,6900,0.041128
2,0.2,7000,0.034297
2,0.2,7100,0.028603
2,0.2,7200,0.023857
2,0.2,7300,0.019901
2,0.2,7400,0.016603
2,0.2,7500,0.013853
2,0.2,7600,0.01156
2,0.2,7700,0.009647
2,0.2,7800,0.008052
2,0.2,7900,0.006721
2,0.2,8000,0.005611
2,0.2,8100,0.004685
2,0.2,8200,0.003912
2,0.2,8300,0.003267
2,0.2,8400,0.002729
2,0.2,8500,0.002279
2,0.2,8600,0.001904
2,0.2,8700,0.001591
2,0.2,8800,0.001329
2,0.2,8900,0.00111
2,0.2,8959,0.000999
2,0.3,0,3307.789049
2,0.3,100,2544.850005
2,0.3,200,2083.724585
2,0.3,300,1743.037736
2,0.3,400,1478.624456
2,0.3,500,1274.132437
2,0.3,600,1116.563942
2,0.3,700,993.790145
2,0.3,800,895.72619
2,0.3,900,814.94104
2,0.3,1000,746.225617
2,0.3,1100,685.820431
2,0.3,1200,630.897694
2,0.3,1300,579.387162
2,0.3,1400,529.964596
2,0.3,1500,482.027109
2,0.3,1600,435.572808
2,0.3,1700,390.982375
2,0.3,1800,348.748407
2,0.3,1900,309.236075
2,0.3,2000,272.582699
2,0.3,2100,238.768817
2,0.3,2200,207.750896
2,0.3,2300,179.526731
2,0.3,2400,154.115008
2,0.3,2500,131.505251
2,0.3,2600,111.624347
2,0.3,2700,94.330799
2,0.3,2800,79.428189
2,0.3,2900,66.686099
2,0.3,3000,55.860478
2,0.3,3100,46.709685
2,0.3,3200,39.005398
2,0.3,3300,32.538967
