model,gamma,step,l2
2,0.2,4000,0.005687
2,0.2,4100,0.003962
2,0.2,4200,0.002762
2,0.2,4300,0.001926
2,0.2,4400,0.001344
2,0.2,4483,0.000997
2,0.3,0,3287.305989
2,0.3,100,1745.901378
2,0.3,200,1112.126379
2,0.3,300,804.377416
2,0.3,400,614.321719
2,0.3,500,463.408649
2,0.3,600,332.880749
2,0.3,700,226.058949
2,0.3,800,144.362117
2,0.3,900,87.743801
2,0.3,1000,51.810225
2,0.3,1100,30.162433
2,0.3,1200,17.451859
2,0.3,1300,10.073147
2,0.3,1400,5.809104
2,0.3,1500,3.349067
2,0.3,1600,1.930667
2,0.3,1700,1.11307
2,0.3,1800,0.64185
2,0.3,1900,0.370264
2,0.3,2000,0.213709
2,0.3,2100,0.123434
2,0.3,2200,0.071351
2,0.3,2300,0.041282
2,0.3,2400,0.023908
2,0.3,2500,0.013861
2,0.3,2600,0.008044
2,0.3,2700,0.004674
2,0.3,2800,0.002718
2,0.3,2900,0.001582
2,0.3,2985,0.001
2,0.4,0,3276.921634
2,0.4,100,1475.062594
2,0.4,200,885.589827
2,0.4,300,613.339228
2,0.4,400,416.651325
2,0.4,500,258.14359
2,0.4,600,143.731296
2,0.4,700,73.362855
2,0.4,800,35.912718
2,0.4,900,17.318038
2,0.4,1000,8.314134
2,0.4,1100,3.986999
2,0.4,1200,1.911507
2,0.4,1300,0.916572
2,0.4,1400,0.439717
2,0.4,1500,0.211137
2,0.4,1600,0.101505
2,0.4,1700,0.048873
2,0.4,1800,0.023573
2,0.4,1900,0.011391
2,0.4,2000,0.005515
2,0.4,2100,0.002675
2,0.4,2200,0.0013
2,0.4,2237,0.000995
3,0.1,0,3309.047456
3,0.1,100,2593.965843
3,0.1,200,2151.273967
3,0.1,300,1838.542264
3,0.1,400,1606.155011
3,0.1,500,1434.042197
3,0.1,600,1309.157945
3,0.1,700,1220.95245
3,0.1,800,1161.601905
3,0.1,900,1126.14221
3,0.1,1000,1112.083271
3,0.1,1100,1118.664224
3,0.1,1200,1145.859688
3,0.1,1300,1193.272575
3,0.1,1400,1259.144819
3,0.1,1500,1339.791883
3,0.1,1600,1429.679208
3,0.1,1700,1522.094139
3,0.1,1800,1610.088958
3,0.1,1900,1687.29299
3,0.1,2000,1748.37701
3,0.1,2100,1789.217601
3,0.1,2200,1806.933513
3,0.1,2300,1799.923425
3,0.1,2400,1767.931005
3,0.1,2500,1712.087002
3,0.1,2600,1634.855912
3,0.1,2700,1539.837986
3,0.1,2800,1431.425906
