model,graph,factor,time1,time2,total_time,final_step,final_l2,gamma,lambda,budget,max_step,tolerance,thread_count,num_nodes,num_edges
4, compressed_sparse_row, uniform, nan, 0.082116, 0.082116, 2137, 0.000996, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 1104, 3440
5, compressed_sparse_row, local_spillover, 0.000020, 0.081552, 0.081572, 2141, 0.000995, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 1104, 3440
6, compressed_sparse_row, global_spillover, 0.065891, 0.094714, 0.160605, 2478, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 1104, 3440
1, adjacency_list, uniform, nan, 0.302061, 0.302061, 4379, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 2208, 6880
2, adjacency_list, local_spillover, 0.000038, 0.284961, 0.284998, 4386, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 2208, 6880
3, adjacency_list, global_spillover, 0.277881, 0.341875, 0.619756, 5251, 0.000997, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 2208, 6880
4, compressed_sparse_row, uniform, nan, 0.273324, 0.273324, 4379, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 2208, 6880
5, compressed_sparse_row, local_spillover, 0.000036, 0.273177, 0.273213, 4386, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 2208, 6880
6, compressed_sparse_row, global_spillover, 0.271389, 0.329879, 0.601268, 5251, 0.000997, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 2208, 6880
1, adjacency_list, uniform, nan, 0.302259, 0.302259, 4379, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 2208, 6880
2, adjacency_list, local_spillover, 0.000038, 0.286043, 0.286082, 4386, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 2208, 6880
3, adjacency_list, global_spillover, 0.277748, 0.342400, 0.620147, 5251, 0.000997, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 2208, 6880
4, compressed_sparse_row, uniform, nan, 0.274537, 0.274537, 4379, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 2208, 6880
5, compressed_sparse_row, local_spillover, 0.000036, 0.274822, 0.274858, 4386, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 2208, 6880
6, compressed_sparse_row, global_spillover, 0.271139, 0.328900, 0.600039, 5251, 0.000997, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 2208, 6880
1, adjacency_list, uniform, nan, 0.293003, 0.293003, 4379, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 2208, 6880
2, adjacency_list, local_spillover, 0.000038, 0.280819, 0.280856, 4386, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 2208, 6880
3, adjacency_list, global_spillover, 0.277269, 0.336601, 0.613870, 5251, 0.000997, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 2208, 6880
4, compressed_sparse_row, uniform, nan, 0.270851, 0.270851, 4379, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 2208, 6880
5, compressed_sparse_row, local_spillover, 0.000035, 0.271315, 0.271349, 4386, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 2208, 6880
6, compressed_sparse_row, global_spillover, 0.271231, 0.324695, 0.595926, 5251, 0.000997, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 2208, 6880
1, adjacency_list, uniform, nan, 1.248963, 1.248963, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 4416, 13760
2, adjacency_list, local_spillover, 0.000078, 1.171405, 1.171482, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 4416, 13760
3, adjacency_list, global_spillover, 1.172315, 1.445260, 2.617575, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 4416, 13760
4, compressed_sparse_row, uniform, nan, 1.033062, 1.033062, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 4416, 13760
5, compressed_sparse_row, local_spillover, 0.000070, 1.034410, 1.034480, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 4416, 13760
6, compressed_sparse_row, global_spillover, 1.112087, 1.277836, 2.389923, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 4416, 13760
1, adjacency_list, uniform, nan, 1.231079, 1.231079, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 4416, 13760
2, adjacency_list, local_spillover, 0.000077, 1.166400, 1.166477, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 4416, 13760
3, adjacency_list, global_spillover, 1.174555, 1.440196, 2.614751, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 4416, 13760
4, compressed_sparse_row, uniform, nan, 1.028585, 1.028585, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 4416, 13760
5, compressed_sparse_row, local_spillover, 0.000073, 1.028363, 1.028436, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 4416, 13760
6, compressed_sparse_row, global_spillover, 1.113607, 1.268908, 2.382515, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 4416, 13760
1, adjacency_list, uniform, nan, 1.228740, 1.228740, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 4416, 13760
2, adjacency_list, local_spillover, 0.000077, 1.158285, 1.158361, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 4416, 13760
3, adjacency_list, global_spillover, 1.169748, 1.421020, 2.590768, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 4416, 13760
4, compressed_sparse_row, uniform, nan, 1.028184, 1.028184, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 4416, 13760
5, compressed_sparse_row, local_spillover, 0.000069, 1.025845, 1.025914, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 4416, 13760
6, compressed_sparse_row, global_spillover, 1.113947, 1.266804, 2.380751, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 4416, 13760
1, adjacency_list, uniform, nan, 5.354859, 5.354859, 18315, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 8832, 27520
2, adjacency_list, local_spillover, 0.000164, 5.109778, 5.109942, 18343, 0.001000, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 8832, 27520
3, adjacency_list, global_spillover, 5.169938, 6.461782, 11.631720, 23306, 0.001000, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 8832, 27520
4, compressed_sparse_row, uniform, nan, 4.128084, 4.128084, 18315, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 8832, 27520
5, compressed_sparse_row, local_spillover, 0.000138, 4.138621, 4.138759, 18343, 0.001000, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 8832, 27520
6, compressed_sparse_row, global_spillover, 4.605543, 5.261191, 9.866734, 23306, 0.001000, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 8832, 27520
1, adjacency_list, uniform, nan, 5.415064, 5.415064, 18315, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 8832, 27520
2, adjacency_list, local_spillover, 0.000165, 5.164412, 5.164577, 18343, 0.001000, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 8832, 27520
3, adjacency_list, global_spillover, 5.156163, 6.535921, 11.692084, 23306, 0.001000, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 8832, 27520
4, compressed_sparse_row, uniform, nan, 4.173942, 4.173942, 18315, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 8832, 27520
5, compressed_sparse_row, local_spillover, 0.000141, 4.183452, 4.183593, 18343, 0.001000, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 8832, 27520
6, compressed_sparse_row, global_spillover, 4.605495, 5.312208, 9.917704, 23306, 0.001000, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 8832, 27520
1, adjacency_list, uniform, nan, 5.389177, 5.389177, 18315, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 8832, 27520
2, adjacency_list, local_spillover, 0.000164, 5.126241, 5.126405, 18343, 0.001000, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 8832, 27520
3, adjacency_list, global_spillover, 5.154904, 6.504810, 11.659713, 23306, 0.001000, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 8832, 27520
4, compressed_sparse_row, uniform, nan, 4.160650, 4.160650, 18315, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 8832, 27520
5, compressed_sparse_row, local_spillover, 0.000138, 4.167603, 4.167741, 18343, 0.001000, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 8832, 27520
6, compressed_sparse_row, global_spillover, 4.598129, 5.298556, 9.896685, 23306, 0.001000, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 8832, 27520
