model,graph,factor,time1,time2,total_time,final_step,final_l2,gamma,lambda,budget,max_step,tolerance,thread_count,num_nodes,num_edges
5, compressed_sparse_row, local_spillover, 0.000061, 0.876858, 0.876919, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 6, 4416, 13760
6, compressed_sparse_row, global_spillover, 0.786174, 1.083130, 1.869303, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 6, 4416, 13760
1, adjacency_list, uniform, nan, 0.940171, 0.940171, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 6, 4416, 13760
2, adjacency_list, local_spillover, 0.000062, 0.939325, 0.939387, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 6, 4416, 13760
3, adjacency_list, global_spillover, 0.825007, 1.158976, 1.983983, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 6, 4416, 13760
4, compressed_sparse_row, uniform, nan, 0.877464, 0.877464, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 6, 4416, 13760
5, compressed_sparse_row, local_spillover, 0.000062, 0.878139, 0.878201, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 6, 4416, 13760
6, compressed_sparse_row, global_spillover, 0.798868, 1.084930, 1.883797, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 6, 4416, 13760
1, adjacency_list, uniform, nan, 0.930388, 0.930388, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 6, 4416, 13760
2, adjacency_list, local_spillover, 0.000060, 0.930087, 0.930147, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 6, 4416, 13760
3, adjacency_list, global_spillover, 0.819950, 1.149782, 1.969732, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 6, 4416, 13760
4, compressed_sparse_row, uniform, nan, 0.873821, 0.873821, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 6, 4416, 13760
5, compressed_sparse_row, local_spillover, 0.000060, 0.874822, 0.874882, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 6, 4416, 13760
6, compressed_sparse_row, global_spillover, 0.798034, 1.077654, 1.875688, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 6, 4416, 13760
1, adjacency_list, uniform, nan, 0.810233, 0.810233, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 8, 4416, 13760
2, adjacency_list, local_spillover, 0.000058, 0.809775, 0.809833, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 8, 4416, 13760
3, adjacency_list, global_spillover, 0.587421, 0.999718, 1.587138, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 8, 4416, 13760
4, compressed_sparse_row, uniform, nan, 0.788434, 0.788434, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 8, 4416, 13760
5, compressed_sparse_row, local_spillover, 0.000059, 0.790037, 0.790096, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 8, 4416, 13760
6, compressed_sparse_row, global_spillover, 0.558960, 0.977504, 1.536464, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 8, 4416, 13760
1, adjacency_list, uniform, nan, 0.808826, 0.808826, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 8, 4416, 13760
2, adjacency_list, local_spillover, 0.000057, 0.808526, 0.808583, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 8, 4416, 13760
3, adjacency_list, global_spillover, 0.584959, 0.997941, 1.582900, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 8, 4416, 13760
4, compressed_sparse_row, uniform, nan, 0.786833, 0.786833, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 8, 4416, 13760
5, compressed_sparse_row, local_spillover, 0.000058, 0.788070, 0.788128, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 8, 4416, 13760
6, compressed_sparse_row, global_spillover, 0.557037, 0.972375, 1.529412, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 8, 4416, 13760
1, adjacency_list, uniform, nan, 0.817990, 0.817990, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 8, 4416, 13760
2, adjacency_list, local_spillover, 0.000059, 0.818873, 0.818932, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 8, 4416, 13760
